Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Toyota Camry, 2013/2022;29.6 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2013;2022;Хайбрид;Хар;Лизинггүй;хүннү2222;Урдаа FWD;120000 км.;Дугаар авсан;5
Hyundai Sonata, 2009/2014;5.5 сая ₮;1.8 л;Механик;Зөв;Суудлын тэрэг;Хар;2009;2014;Газ;Хар;Лизинггүй;shd tahilt;Урдаа FWD;260000 км.;Дугаар авсан;4
Toyota Vitz, 2008/2018;8 сая ₮;1.3 л;Автомат;Буруу;Суудлын тэрэг;Хөх;2008;2018;Бензин;Хар;Лизинггүй;nan;Урдаа FWD;240000 км.;Дугаар авсан;5
Toyota Prius 30, 2010/2019;16.5 сая ₮;1.7 л;Автомат;Буруу;Суудлын тэрэг;Цайвар цэнхэр;2010;2019;Бензин;Бусад;Лизинггүй;oron nutag;Урдаа FWD;0 км.;Дугаар авсан;5
Toyota Axio, 2013/2021;17.3 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2013;2021;Бензин;Хар;Лизинггүй;opitser;Бүх дугуй 4WD;230 км.;Дугаар авсан;4
Toyota Harrier, 2009/2023;46 сая ₮;3.3 л;Автомат;Буруу;Жийп;Хар;2009;2023;Хайбрид;Хар;ББСБ лизингтэй;Хан-Уул дүүрэг 24 хороо Шинэн өргөө хотхон;Бүх дугуй 4WD;98000 км.;Дугаар авсан;4
Toyota Kluger, 2006/2022;30 сая ₮;3.3 л;Автомат;Буруу;Жийп;Саарал;2006;2022;Бензин;Саарал;Лизинггүй;Баянгол дүүрэг Гурвалжин;Бүх дугуй 4WD;100000 км.;Дугаар авсан;5
Subaru Forester, 2014/2019;27 сая ₮;2.0 л;Автомат;Буруу;Жийп;Саарал;2014;2019;Бензин;Саарал;Лизинггүй;nan;Бүх дугуй 4WD;160 км.;Дугаар аваагүй;4
Toyota Prius 30, 2012/2020;17.8 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар;2012;2020;Хайбрид;Хар;ББСБ лизингтэй;ulaanbaatar ih delgvvr;Урдаа FWD;17400000 км.;Дугаар авсан;5
Toyota Alphard, 2009/2023;37 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Цагаан;2009;2023;Бензин;Хар;ББСБ лизингтэй;22;Бүх дугуй 4WD;170000 км.;Дугаар авсан;5
Jeep Wrangler, 2019/2019;190 сая ₮;2.0 л;Автомат;Зөв;Жийп;Саарал;2019;2019;Бензин;Хар;Лизинггүй;Encanto Town;Бүх дугуй 4WD;70000 км.;Дугаар авсан;5
Toyota Prius 30, 2011/2023;25 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Бусад;2011;2023;Хайбрид;Бусад;Лизинггүй;hot;Урдаа FWD;130000 км.;Дугаар авсан;4
Lexus RX, 2012/2022;65 сая ₮;3.3 л;Автомат;Буруу;Жийп;Хар;2012;2022;Хайбрид;Бор;Лизинггүй;төмөр зам;Бүх дугуй 4WD;150 км.;Дугаар авсан;5
Toyota Fielder, 2013/2019;14.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2013;2019;Хайбрид;Хар;Лизинггүй;ub;Урдаа FWD;108843 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2014/2021;26.5 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2014;2021;Хайбрид;Саарал;Лизинггүй;Ulaan baatar;Бүх дугуй 4WD;5000 км.;Дугаар авсан;4
Honda Бусад, 2002/2020;7.5 сая ₮;2.0 л;Механик;Буруу;Гэр бүлийн;Цагаан;2002;2020;Бензин;Саарал;Лизинггүй;100 айл Хангай хотхон;Урдаа FWD;500 км.;Дугаар авсан;2
Toyota Highlander, 2010/2019;48 сая ₮;3.5 л;Автомат;Зөв;Жийп;Хар;2010;2019;Бензин;Шаргал;Лизинггүй;Бөхийн өргөө;Урдаа FWD;200000 км.;Дугаар авсан;5
Hyundai Sonata, 2018/2023;45 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Сувдан цагаан;2018;2023;Бензин;Саарал;Лизинггүй;бгд;Урдаа FWD;117000 км.;Дугаар аваагүй;4
Toyota Alphard, 2015/2023;95 сая ₮;2.5 л;Автомат;Буруу;Гэр бүлийн;Цайвар цэнхэр;2015;2023;Хайбрид;Хар;Лизинггүй;uran gan;Бүх дугуй 4WD;125000 км.;Дугаар аваагүй;5
Toyota Prius 30, 2010/2019;17.5 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цайвар цэнхэр;2010;2019;Хайбрид;Бусад;Лизинггүй;Zuun4 zam;Урдаа FWD;100000 км.;Дугаар авсан;5
Toyota Harrier, 2006/2017;29 сая ₮;3.3 л;Автомат;Буруу;Жийп;Цагаан;2006;2017;Хайбрид;Хар;Лизинггүй;Zaisan;Бүх дугуй 4WD;1000000 км.;Дугаар авсан;4
Lexus RX, 2010/2022;57 сая ₮;3.5 л;Автомат;Буруу;Жийп;Цайвар цэнхэр;2010;2022;Хайбрид;Хар;Лизинггүй;zaisan grandmed;Бүх дугуй 4WD;90000 км.;Дугаар авсан;4
Volkswagen Passat, 2010/2010;17 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Саарал;2010;2010;Бензин;Хар;Лизинггүй;УБ БЗД;Урдаа FWD;235000 км.;Дугаар авсан;5
Toyota Allion, 2004/2014;11 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хүрэн;2004;2014;Бензин;Хар;Лизинггүй;Улаанбаатар;Урдаа FWD;1111 км.;Дугаар авсан;5
Nissan Tiida, 2012/2020;6.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хүрэн;2012;2020;Бензин;Бусад;Лизинггүй;Opitsert;Урдаа FWD;94200 км.;Дугаар авсан;4
Toyota Aqua, 2012/2017;11 сая ₮;1.3 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2012;2017;Хайбрид;Саарал;Лизинггүй;nan;Урдаа FWD;160000 км.;Дугаар авсан;5
Toyota Land Cruiser Prado, 2012/2023;85 сая ₮;2.7 л;Автомат;Буруу;Жийп;Хар;2012;2023;Бензин;Саарал;Лизинггүй;УБ;Бүх дугуй 4WD;99000 км.;Дугаар аваагүй;5
Toyota Crown, 2014/2023;45.8 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2014;2023;Хайбрид;Хар;ББСБ лизингтэй;Сансар;Хойноо RWD;181000 км.;Дугаар аваагүй;4
Nissan Patrol, 2011/2011;58 сая ₮;4.8 л;Механик;Зөв;Жийп;Саарал;2011;2011;Бензин;Хар;ББСБ лизингтэй;төмөр зам;Бүх дугуй 4WD;208000 км.;Дугаар авсан;5
Toyota Estima, 2006/2023;24.5 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Саарал;2006;2023;Хайбрид;Цагаан шар;ББСБ лизингтэй;hud;Бүх дугуй 4WD;150000 км.;Дугаар авсан;5
Lexus RX, 2010/2023;46 сая ₮;3.5 л;Автомат;Буруу;Жийп;Хар;2010;2023;Хайбрид;Хар;Банкны лизингтэй;Урбаник;Урдаа FWD;132000 км.;Дугаар аваагүй;4
