Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Toyota Camry, 2019/2020;60 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Хар;2019;2020;Хайбрид;Хар;ББСБ лизингтэй;zaisan;Урдаа FWD;40000 км.;Дугаар авсан;5
Ford Explorer, 2008/2023;42.8 сая ₮;4.0 л;Автомат;Зөв;Жийп;Хар;2008;2023;Бензин;Бусад;ББСБ лизингтэй;nan;Бүх дугуй 4WD;147000 км.;Дугаар аваагүй;4
Toyota Vanguard, 2010/2019;25.5 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2019;Бензин;Шаргал;Лизинггүй;ХУД;Урдаа FWD;182000 км.;Дугаар авсан;5
SsangYong Rexton, 2018/2022;70 сая ₮;2.2 л;Автомат;Зөв;Жийп;Саарал;2018;2022;Дизель;Саарал;Лизинггүй;Ulaanbaatar;Бүх дугуй 4WD;60 км.;Дугаар авсан;5
Toyota C-HR, 2017/2023;50 сая ₮;1.2 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2017;2023;Бензин;Хар;Банкны лизингтэй;narnii horoolol;Бүх дугуй 4WD;56000 км.;Дугаар аваагүй;5
Toyota Pickup, 2002/2019;28 сая ₮;2.0 л;Автомат;Буруу;Жийп;Хар;2002;2019;Бензин;Саарал;Лизинггүй;yarmag;Хойноо RWD;140000 км.;Дугаар авсан;2
Porsche Cayenne, 2022/2022;390 сая ₮;3.0 л;Автомат;Зөв;Жийп;Хар саарал;2022;2022;Бензин;Хар;Банкны лизингтэй;ХУД Яармаг Порше Центэр;Бүх дугуй 4WD;3900 км.;Дугаар авсан;5
Honda Fit, 2013/2023;18.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2013;2023;Хайбрид;Саарал;ББСБ лизингтэй;Сансар;Урдаа FWD;180000 км.;Дугаар аваагүй;4
Renault Бусад, 2016/2019;25 сая ₮;1.5 л;Автомат;Зөв;Жийп;Бусад;2016;2019;Дизель;Хар;Банкны лизингтэй;Улаанбаатар;Урдаа FWD;134221 км.;Дугаар авсан;5
Toyota Sai, 2010/2021;22 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2021;Хайбрид;Саарал;Лизинггүй;схд 21 хороолол;Урдаа FWD;153307 км.;Дугаар авсан;5
Audi Q5, 2017/2023;88 сая ₮;2.0 л;Автомат;Буруу;Жийп;Хөх;2017;2023;Бензин;Хар;Банкны лизингтэй;King Tower 135-r bairnii B2 graj;Бүх дугуй 4WD;127000 км.;Дугаар аваагүй;5
Toyota Vitz, 2008/2015;6.5 сая ₮;1.2 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2008;2015;Бензин;Саарал;Лизинггүй;БЗД Хужирбулан.;Урдаа FWD;150000 км.;Дугаар авсан;4
Toyota Aqua, 2019/2023;23.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хар саарал;2019;2023;Хайбрид;Саарал;Хувь лизингтэй;narnii horoolol;Урдаа FWD;91000 км.;Дугаар аваагүй;5
Nissan Skyline, 2014/2021;30 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2021;Бензин;Хар;Лизинггүй;ХУД;Хойноо RWD;147000 км.;Дугаар авсан;4
Toyota Noah, 2012/2022;21.5 сая ₮;2.0 л;Автомат;Буруу;Гэр бүлийн;Саарал;2012;2022;Бензин;Шаргал;Лизинггүй;Баянзүрх дүүрэг, 25-р хороо, натур;Бүх дугуй 4WD;192000 км.;Дугаар авсан;5
Nissan X-Trail, 2010/2019;18.8 сая ₮;2.0 л;Автомат;Буруу;Жийп;Сувдан цагаан;2010;2019;Бензин;Хар;ББСБ лизингтэй;Нарны гүүрны урд;Бүх дугуй 4WD;180000 км.;Дугаар авсан;4
Nissan Patrol, 2008/2008;45 сая ₮;4.2 л;Механик;Зөв;Жийп;Саарал;2008;2008;Дизель;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;200000 км.;Дугаар авсан;5
Toyota Prius 30, 2015/2020;19.5 сая ₮;6.0 л;Автомат;Буруу;Суудлын тэрэг;Хар;2015;2020;Хайбрид;Хар;Лизинггүй;Zaisan blue sky;Урдаа FWD;92000 км.;Дугаар авсан;5
Toyota Prius 55, 2016/2021;30 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2016;2021;Бензин;Цагаан шар;Лизинггүй;баянмонгол хороолол;Бүх дугуй 4WD;215 км.;Дугаар авсан;4
Nissan NV200, 2009/2023;14.8 сая ₮;1.6 л;Автомат;Буруу;Гэр бүлийн;Хар саарал;2009;2023;Бензин;Бусад;Лизинггүй;nan;Урдаа FWD;167000 км.;Дугаар аваагүй;5
Toyota Passo, 2008/2018;9.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Улбар шар;2008;2018;Бензин;Саарал;Лизинггүй;bzd;Бүх дугуй 4WD;12 км.;Дугаар авсан;5
Toyota Wish, 2010/2019;17 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Улаан;2010;2019;Бензин;Хар;Лизинггүй;БЗД, Жуков;Урдаа FWD;120 км.;Дугаар авсан;4
Volkswagen Touareg, 2004/2012;15 сая ₮;4.2 л;Автомат;Зөв;Жийп;Хүрэн;2004;2012;Бензин;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;270000 км.;Дугаар авсан;5
Jeep Wrangler, 2020/2021;160 сая ₮;2.0 л;Автомат;Зөв;Жийп;Хар саарал;2020;2021;Бензин;Хар;Банкны лизингтэй;Han uul;Бүх дугуй 4WD;50000 км.;Дугаар авсан;5
Toyota Prius 30, 2014/2022;23 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2022;Бензин;Саарал;Лизинггүй;4 horoolol;Урдаа FWD;120000 км.;Дугаар авсан;4
Nissan Patrol, 2017/2019;135 сая ₮;5.5 л;Автомат;Зөв;Жийп;Цагаан;2017;2019;Бензин;Хар;Лизинггүй;Яармаг;Бүх дугуй 4WD;80000 км.;Дугаар авсан;5
Toyota Camry, 2013/2023;37 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2013;2023;Хайбрид;Хар;ББСБ лизингтэй;nan;Урдаа FWD;120 км.;Дугаар авсан;5
Chevrolet Tahoe, 2010/2010;39 сая ₮;5.3 л;Автомат;Зөв;Жийп;Хүрэн;2010;2010;Бензин;Саарал;Лизинггүй;нар;Бүх дугуй 4WD;120 км.;Дугаар авсан;4
Subaru Forester, 2019/2023;59 сая ₮;2.9 л;Автомат;Буруу;Жийп;Саарал;2019;2023;Бензин;Хар;ББСБ лизингтэй;MB auto hudaldaa;Бүх дугуй 4WD;29000 км.;Дугаар аваагүй;5
Lexus RX, 2012/2021;75 сая ₮;4.5 л;Автомат;Зөв;Жийп;Саарал;2012;2021;Бензин;Хар;Лизинггүй;зайсан;Бүх дугуй 4WD;200 км.;Дугаар авсан;5
Mercedes-Benz S-Class, 2014/2023;76.5 сая ₮;3.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2014;2023;Хайбрид;Цагаан шар;Банкны лизингтэй;nan;Хойноо RWD;106000 км.;Дугаар аваагүй;4
Mitsubishi Delica, 1996/2006;8 сая ₮;2.4 л;Механик;Буруу;Жийп;Хар;1996;2006;Дизель;Саарал;Хувь лизингтэй;nan;Бүх дугуй 4WD;200 км.;Дугаар авсан;4
Toyota Rumion, 2012/2020;20 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цэнхэр;2012;2020;Бензин;Хар;Лизинггүй;120 myngat;Урдаа FWD;65000 км.;Дугаар авсан;5
Mercedes-Benz S-Class, 1998/2022;60 сая ₮;3.1 л;Автомат;Зөв;Суудлын тэрэг;Саарал;1998;2022;Бензин;Хар;Лизинггүй;нисэхийн тойрог JPcars;Хойноо RWD;10 км.;Дугаар аваагүй;4
Mitsubishi Delica, 2012/2021;24 сая ₮;2.0 л;Автомат;Буруу;Гэр бүлийн;Саарал;2012;2021;Бензин;Саарал;Лизинггүй;цайз;Бүх дугуй 4WD;178033 км.;Дугаар авсан;5
Hyundai Sonata, 2015/2020;19 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Цагаан;2015;2020;Газ;Хар;Лизинггүй;Дархан уул аймаг;Урдаа FWD;120000 км.;Дугаар авсан;5
Toyota Probox, 2006/2014;3.8 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2006;2014;Бензин;Хар;Лизинггүй;нарны хороолол;Урдаа FWD;300000 км.;Дугаар авсан;5
Toyota Vellfire, 2012/2023;45 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Сувдан цагаан;2012;2023;Хайбрид;Цагаан шар;ББСБ лизингтэй;Ulziit Motors;Бүх дугуй 4WD;162000 км.;Дугаар аваагүй;5
Lexus HS, 2010/2023;36.8 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Хар;2010;2023;Хайбрид;Хар;ББСБ лизингтэй;Зайсан апартмент;Хойноо RWD;121718 км.;Дугаар аваагүй;4
Toyota C-HR, 2018/2020;48 сая ₮;1.2 л;Автомат;Буруу;Суудлын тэрэг;Шар;2018;2020;Бензин;Хар;Лизинггүй;уб;Бүх дугуй 4WD;47000 км.;Дугаар авсан;5
Nissan Vanette, 2006/2019;8 сая ₮;1.8 л;Механик;Буруу;Суудлын тэрэг;Цагаан;2006;2019;Дизель;Саарал;Лизинггүй;nan;Бүх дугуй 4WD;120000 км.;Дугаар авсан;5
Nissan Note, 2013/2020;11 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2013;2020;Бензин;Хар;Лизинггүй;Зайсан Энхжин, Сансар 805;Урдаа FWD;190000 км.;Дугаар авсан;5
Toyota Vitz, 2010/2017;9 сая ₮;1.3 л;Механик;Буруу;Суудлын тэрэг;Саарал;2010;2017;Бензин;Хар;Лизинггүй;СХД 24хороо;Урдаа FWD;12345 км.;Дугаар авсан;5
Subaru Legacy, 2013/2022;23 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2013;2022;Бензин;Хар;ББСБ лизингтэй;nan;Бүх дугуй 4WD;1658000 км.;Дугаар авсан;4
BMW X5, 2015/2021;200 сая ₮;4.3 л;Автомат;Зөв;Жийп;Хар;2015;2021;Бензин;Бусад;Лизинггүй;Уранган;Бүх дугуй 4WD;49000 км.;Дугаар авсан;5
MINI Cooper, 2009/2015;14 сая ₮;0.6 л;Автомат;Зөв;Суудлын тэрэг;Сувдан цагаан;2009;2015;Бензин;Саарал;Лизинггүй;Bayangol Ahui uichilgee;Урдаа FWD;1666 км.;Дугаар авсан;2
Volkswagen Бусад, 2016/2020;32 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2016;2020;Дизель;Саарал;Лизинггүй;УБ;Бүх дугуй 4WD;136500 км.;Дугаар авсан;5
Subaru Forester, 2012/2021;25 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2012;2021;Бензин;Хар;Лизинггүй;УБ;Бүх дугуй 4WD;110000 км.;Дугаар авсан;4
Toyota Noah, 2014/2023;37 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Ногоон;2014;2023;Хайбрид;Цагаан шар;Лизинггүй;22;Урдаа FWD;170000 км.;Дугаар аваагүй;5
Mercedes-Benz A-Class, 2013/2022;35 сая ₮;1.6 л;Автомат;Буруу;Суудлын тэрэг;Бор;2013;2022;Бензин;Хар;Лизинггүй;Саппоро;Урдаа FWD;130000 км.;Дугаар авсан;5
Subaru Forester, 2011/2019;18 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2011;2019;Бензин;Хар;Лизинггүй;Хан уул;Бүх дугуй 4WD;140000 км.;Дугаар авсан;5
Nissan Fuga, 2013/2020;21 сая ₮;3.5 л;Автомат;Зөв;Суудлын тэрэг;Цагаан;2013;2020;Хайбрид;Шаргал;Лизинггүй;ub;Хойноо RWD;217368 км.;Дугаар авсан;4
Toyota Land Cruiser 300, 2023/2023;240 сая ₮;3.3 л;Автомат;Зөв;Жийп;Хар;2021;2023;Дизель;Шаргал;Банкны лизингтэй;hunnu 2222;Бүх дугуй 4WD;6000 км.;Шинэ;5
Toyota Harrier, 2015/2023;61.8 сая ₮;2.5 л;Автомат;Буруу;Жийп;Хар;2015;2023;Хайбрид;Хар;ББСБ лизингтэй;Ulaanbaatar;Бүх дугуй 4WD;122000 км.;Дугаар аваагүй;5
BMW X6, 2012/2012;60 сая ₮;3.0 л;Автомат;Зөв;Жийп;Хар саарал;2012;2012;Бензин;Саарал;Лизинггүй;хан-уул дүүрэг 15 хороо;Бүх дугуй 4WD;100000 км.;Дугаар авсан;5
Lexus LX, 2013/2014;185 сая ₮;5.7 л;Автомат;Зөв;Жийп;Хар;2013;2014;Бензин;Хар;Лизинггүй;Kinu tower;Бүх дугуй 4WD;147 км.;Дугаар авсан;4
Chevrolet Camaro, 2011/2012;40 сая ₮;3.6 л;Автомат;Зөв;Суудлын тэрэг;Хөх;2011;2012;Бензин;Хар;Лизинггүй;Улаанбаатар Баянгол;Хойноо RWD;80000 км.;Дугаар авсан;2
Nissan Dualis/Qashqai, 2008/2017;15 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цэнхэр;2008;2017;Бензин;Саарал;Лизинггүй;БГД ТӨМӨР ЗАМ;Урдаа FWD;140000 км.;Дугаар авсан;5
Toyota Prius 55, 2017/2023;34.9 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2017;2023;Хайбрид;Саарал;ББСБ лизингтэй;22;Бүх дугуй 4WD;190000 км.;Шинэ;4
Infiniti Q, 2014/2023;39.8 сая ₮;3.5 л;Автомат;Буруу;Суудлын тэрэг;Цэнхэр;2014;2023;Хайбрид;Хар;Банкны лизингтэй;ub;Бүх дугуй 4WD;100000 км.;Дугаар аваагүй;4
Land Rover Range Rover, 2017/2018;230 сая ₮;3.0 л;Автомат;Зөв;Жийп;Улаан;2017;2018;Бензин;Цагаан шар;Лизинггүй;Ub;Бүх дугуй 4WD;58000 км.;Дугаар авсан;5
Renault Бусад, 2014/2023;27.5 сая ₮;1.2 л;Автомат;Буруу;Жийп;Хар;2014;2023;Бензин;Хар;ББСБ лизингтэй;Ulziit Motors;Урдаа FWD;105000 км.;Дугаар аваагүй;5
Nissan Skyline, 2014/2023;35 сая ₮;3.5 л;Автомат;Буруу;Суудлын тэрэг;Бусад;2014;2023;Хайбрид;Хар;Лизинггүй;ХУД;Бүх дугуй 4WD;201000 км.;Дугаар аваагүй;5
Land Rover Discovery, 2006/2009;25 сая ₮;4.0 л;Автомат;Зөв;Жийп;Хөх;2006;2009;Бензин;Цагаан шар;Лизинггүй;ulaanbaatar;Бүх дугуй 4WD;180000 км.;Дугаар авсан;5
Toyota Land Cruiser Prado, 2007/2023;62 сая ₮;2.7 л;Автомат;Буруу;Жийп;Цагаан;2007;2023;Бензин;Хар;Банкны лизингтэй;10-horoolol Hermes;Бүх дугуй 4WD;101000 км.;Дугаар аваагүй;5
Toyota Land Cruiser 105, 2005/2005;36 сая ₮;4.2 л;Механик;Зөв;Жийп;Ногоон;2005;2005;Дизель;Цагаан шар;Лизинггүй;схд содон хороолол;Бүх дугуй 4WD;185000 км.;Дугаар авсан;4
Toyota Sai, 2012/2022;24 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2012;2022;Хайбрид;Цагаан шар;ББСБ лизингтэй;Нарны гүүрний зүүн урд;Урдаа FWD;259000 км.;Дугаар авсан;4
Hyundai Tucson, 2023/2023;128 сая ₮;2.0 л;Автомат;Зөв;Жийп;Ногоон;2023;2023;Бензин;Цагаан шар;Банкны лизингтэй;ХУД;Бүх дугуй 4WD;2000 км.;Дугаар авсан;5
Samsung QM, 2021/2022;85 сая ₮;2.0 л;Автомат;Зөв;Жийп;Хар;2021;2022;Бензин;Хар;Лизинггүй;Хороолол;Урдаа FWD;1900 км.;Дугаар авсан;5
Nissan Teana, 2014/2020;20.8 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2014;2020;Бензин;Цагаан шар;Банкны лизингтэй;Нисдэг машин;Урдаа FWD;127000 км.;Дугаар авсан;4
Changan CS, 2023/2023;64 сая ₮;1.4 л;Автомат;Зөв;Суудлын тэрэг;Цагаан;2023;2023;Бензин;Бусад;ББСБ лизингтэй;baynzvrh;Урдаа FWD;100 км.;Шинэ;5
MINI Countryman, 2013/2018;24 сая ₮;1.6 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2013;2018;Бензин;Хар;Лизинггүй;nan;Урдаа FWD;139000 км.;Дугаар авсан;5
Hyundai Avante, 2003/2004;3.5 сая ₮;1.5 л;Автомат;Зөв;Суудлын тэрэг;Бусад;2003;2004;Бензин;Бусад;Лизинггүй;bayangol duureg;Урдаа FWD;141000 км.;Дугаар авсан;4
Nissan NV200, 2012/2023;19.5 сая ₮;1.6 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2023;Бензин;Шаргал;ББСБ лизингтэй;Худ;Урдаа FWD;141000 км.;Дугаар аваагүй;6
SsangYong Бусад, 2013/2023;28.5 сая ₮;2.0 л;Автомат;Зөв;Гэр бүлийн;Хар;2013;2023;Дизель;Саарал;Лизинггүй;улаанбаатар;Бүх дугуй 4WD;90000 км.;Дугаар авсан;4
Toyota Estima, 2008/2018;19.8 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Сувдан цагаан;2008;2018;Хайбрид;Шаргал;ББСБ лизингтэй;nan;Бүх дугуй 4WD;250000 км.;Дугаар авсан;5
Chevrolet Captiva Sport, 2013/2021;40 сая ₮;2.4 л;Автомат;Буруу;Жийп;Сувдан цагаан;2013;2021;Бензин;Хар;Лизинггүй;Yarmag;Бүх дугуй 4WD;135000 км.;Дугаар авсан;4
Kia Sportage, 2011/2011;22 сая ₮;2.0 л;Автомат;Зөв;Жийп;Улаан;2011;2011;Бензин;Саарал;Лизинггүй;ХУД;Бүх дугуй 4WD;83200 км.;Дугаар авсан;5
Mercedes-Benz CLA-Class, 2016/2023;60 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Цагаан;2016;2023;Дизель;Хар;Лизинггүй;Төмөр зам;Хойноо RWD;139000 км.;Шинэ;5
Suzuki Escudo, 2002/2010;15 сая ₮;2.7 л;Автомат;Буруу;Жийп;Цагаан;2002;2010;Бензин;Хар;Хувь лизингтэй;ub jukow;Хойноо RWD;100 км.;Дугаар авсан;5
Toyota Land Cruiser 80, 1996/2012;37 сая ₮;4.2 л;Автомат;Буруу;Жийп;Ногоон;1996;2012;Дизель;Саарал;Лизинггүй;ulaanbaatar;Бүх дугуй 4WD;280000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2023;31.8 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар саарал;2012;2023;Хайбрид;Саарал;Банкны лизингтэй;Da Khuree 3-r haalga;Урдаа FWD;147000 км.;Дугаар аваагүй;5
Автомашин зарна Бусад, 2002/2004;16 сая ₮;2.5 л;Механик;Зөв;Суудлын тэрэг;Ногоон;2002;2004;Бензин;Бор;Лизинггүй;Улаанбаатар хот, Баянгол дүүрэг 3,4р хороолол;Бүх дугуй 4WD;1000 км.;Дугаар авсан;5
Toyota C-HR, 2017/2023;50 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цэнхэр;2017;2023;Хайбрид;Хар;Банкны лизингтэй;Hunnu mall;Урдаа FWD;177000 км.;Дугаар аваагүй;5
Toyota Vanguard, 2011/2020;32 сая ₮;2.4 л;Автомат;Буруу;Жийп;Хар;2011;2020;Бензин;Хар;Лизинггүй;улаанбаатар;Бүх дугуй 4WD;180 км.;Дугаар авсан;5
MG Бусад, 2021/2021;80 сая ₮;2.0 л;Автомат;Зөв;Жийп;Саарал;2021;2021;Бензин;Шаргал;Лизинггүй;Төмөр зам;Бүх дугуй 4WD;27000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2023;32.5 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2023;Хайбрид;Саарал;Хувь лизингтэй;narnii horoolol;Урдаа FWD;161000 км.;Дугаар аваагүй;5
Toyota Prius 50, 2017/2023;49 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Улаан;2017;2023;Цахилгаан;Хар;ББСБ лизингтэй;Hunnu Mall;Урдаа FWD;170000 км.;Дугаар аваагүй;5
Subaru XV Crosstrek, 2018/2023;52 сая ₮;2.0 л;Автомат;Буруу;Жийп;Хар;2018;2023;Бензин;Хар;Банкны лизингтэй;УБ;Бүх дугуй 4WD;38000 км.;Дугаар аваагүй;5
Nissan Pathfinder, 2010/2010;21 сая ₮;4.0 л;Автомат;Зөв;Жийп;Саарал;2010;2010;Бензин;Саарал;Лизинггүй;уб;Бүх дугуй 4WD;182000 км.;Дугаар авсан;5
Subaru Outback, 2018/2023;49 сая ₮;2.5 л;Автомат;Буруу;Жийп;Хар;2018;2023;Бензин;Хар;ББСБ лизингтэй;Гурвалжингийн гүүрний урд;Бүх дугуй 4WD;128000 км.;Дугаар аваагүй;5
Toyota Kluger, 2003/2013;12 сая ₮;2.4 л;Автомат;Буруу;Жийп;Хар;2003;2013;Бензин;Хар;ББСБ лизингтэй;УБ;Урдаа FWD;11111111 км.;Дугаар авсан;5
Toyota Spade Porte, 2012/2021;15 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2012;2021;Бензин;Бор;ББСБ лизингтэй;хороолол;Урдаа FWD;150000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2013/2022;27 сая ₮;1.7 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2013;2022;Хайбрид;Хар;Лизинггүй;Misheel expo;Урдаа FWD;100000 км.;Дугаар авсан;5
Hummer H-3, 2006/2012;24 сая ₮;3.7 л;Автомат;Зөв;Жийп;Саарал;2006;2012;Бензин;Саарал;Лизинггүй;УБ;Бүх дугуй 4WD;153000 км.;Дугаар авсан;5
Lexus Бусад, 2022/2022;560 сая ₮;4.7 л;Автомат;Зөв;Жийп;Хар;2022;2022;Бензин;Бусад;Хувь лизингтэй;ХУД;Бүх дугуй 4WD;500 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2020;23.8 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Хар;2012;2020;Бензин;Саарал;Лизинггүй;төмөр зам;Урдаа FWD;190 км.;Дугаар авсан;5
Nissan Juke, 2011/2020;16 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Улаан;2011;2020;Бензин;Хар;Лизинггүй;Нарны хороолол;Урдаа FWD;84000 км.;Дугаар авсан;4
Toyota Estima, 2010/2021;19 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Хар;2010;2021;Хайбрид;Саарал;Лизинггүй;ulaanbaatar;Бүх дугуй 4WD;200000 км.;Дугаар авсан;5
Nissan Caravan, 2009/2021;14.5 сая ₮;3.0 л;Автомат;Буруу;Гэр бүлийн;Цагаан;2009;2021;Дизель;Хар;Лизинггүй;19 хороолол;Бүх дугуй 4WD;118655 км.;Дугаар авсан;4
Subaru Outback, 2014/2023;32 сая ₮;2.5 л;Автомат;Буруу;Жийп;Бор;2014;2023;Бензин;Хар;Банкны лизингтэй;БГД, 3-4р хороолол, Бичил МТ колонкоос хойш 800м;Бүх дугуй 4WD;94000 км.;Дугаар аваагүй;5
Subaru XV Crosstrek, 2013/2023;31 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2013;2023;Бензин;Хар;ББСБ лизингтэй;БГД, 3-4р хороолол, Бичил МТ колонкоос хойш 800м;Бүх дугуй 4WD;150000 км.;Дугаар аваагүй;5
Volkswagen Touareg, 2013/2019;35 сая ₮;2.3 л;Автомат;Буруу;Жийп;Хар саарал;2013;2019;Бензин;Бусад;ББСБ лизингтэй;Баянзүрх дүүрэг;Бүх дугуй 4WD;200000 км.;Дугаар авсан;5
Infiniti QX, 2013/2013;57 сая ₮;3.5 л;Автомат;Зөв;Жийп;Цагаан;2013;2013;Бензин;Цагаан шар;Лизинггүй;хан уул;Бүх дугуй 4WD;93000 км.;Дугаар авсан;5
Audi Бусад, 2018/2023;48 сая ₮;1.4 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2018;2023;Бензин;Саарал;Лизинггүй;Khan-uul;Урдаа FWD;12 км.;Дугаар аваагүй;5
Subaru XV Crosstrek, 2012/2022;22 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Улбар шар;2012;2022;Бензин;Хар;Лизинггүй;Схд;Бүх дугуй 4WD;155100 км.;Дугаар авсан;5
BMW 3-сери, 2001/2011;10 сая ₮;3.0 л;Автомат;Зөв;Суудлын тэрэг;Саарал;2001;2011;Бензин;Хар;Лизинггүй;3-4horoolol;Хойноо RWD;175000 км.;Дугаар авсан;4
Subaru Exiga, 2011/2020;15 сая ₮;2.0 л;Автомат;Буруу;Гэр бүлийн;Цэнхэр;2011;2020;Бензин;Хар;Лизинггүй;d1000;Урдаа FWD;12000 км.;Дугаар авсан;5
Nissan Sunny, 2013/2014;9.5 сая ₮;1.3 л;Автомат;Зөв;Суудлын тэрэг;Хар;2013;2014;Бензин;Саарал;Лизинггүй;Baynzurh duureg 16r horoo Ulaanhuaran;Урдаа FWD;150000 км.;Дугаар авсан;5
Nissan X-Trail, 2014/2018;26 сая ₮;2.5 л;Автомат;Буруу;Жийп;Улаан;2014;2018;Бензин;Бусад;Банкны лизингтэй;худ;Бүх дугуй 4WD;118000 км.;Дугаар авсан;4
Toyota Mark, 2004/2014;7.8 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2004;2014;Бензин;Цагаан шар;Лизинггүй;UB;Хойноо RWD;1 км.;Дугаар авсан;5
Toyota Voxy, 2010/2018;18.5 сая ₮;2.0 л;Автомат;Буруу;Гэр бүлийн;Хөх;2010;2018;Бензин;Хар;ББСБ лизингтэй;нарны хороолол;Бүх дугуй 4WD;165000 км.;Дугаар авсан;5
Mercedes-Benz CLS-Class, 2016/2023;98.5 сая ₮;3.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2016;2023;Бензин;Хар;Лизинггүй;HUD;Хойноо RWD;66000 км.;Дугаар авсан;4
Toyota Land Cruiser 105, 2001/2002;45 сая ₮;4.0 л;Механик;Зөв;Жийп;Шар;2001;2002;Дизель;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;0 км.;Дугаар авсан;5
Toyota Fielder, 2013/2019;15.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Улаан;2013;2019;Хайбрид;Хар;Лизинггүй;Нисэх;Урдаа FWD;200000 км.;Дугаар авсан;5
Land Rover Discovery, 2016/2022;135 сая ₮;3.0 л;Автомат;Зөв;Жийп;Хар;2016;2022;Бензин;Шаргал;Лизинггүй;ХУД;Бүх дугуй 4WD;160000 км.;Дугаар авсан;5
Jeep Wrangler, 2021/2022;175 сая ₮;2.0 л;Автомат;Зөв;Жийп;Саарал;2021;2022;Бензин;Хар;Лизинггүй;zaisan;Бүх дугуй 4WD;30000 км.;Дугаар авсан;5
Dodge Challenger, 2015/2023;150 сая ₮;3.6 л;Автомат;Зөв;Суудлын тэрэг;Хар;2015;2023;Бензин;Хар;Лизинггүй;bzd;Хойноо RWD;42000 км.;Дугаар аваагүй;2
